transaction_name;class;is_plugin
 Добавить/удалить сегменты;Построение (моделирование);ЛОЖЬ
3D вид;Системные Revit;ЛОЖЬ
Bend;Построение (моделирование);ЛОЖЬ
Copy extents;Построение (моделирование);ЛОЖЬ
Copy sheet;Оформление;ЛОЖЬ
Copy view;Оформление;ЛОЖЬ
Create;Построение (моделирование);ЛОЖЬ
Create Wall;Построение (моделирование);ЛОЖЬ
Create elevations;Построение (моделирование);ЛОЖЬ
Create reinforcement;Построение (моделирование);ЛОЖЬ
Create tags;Оформление;ЛОЖЬ
CreateParameters;Построение (моделирование);ЛОЖЬ
Disconnect;Управление моделью;ЛОЖЬ
Microdesk Delete System;Удаление;ИСТИНА
Microdesk Draw Elbow Down;Построение (моделирование);ИСТИНА
Microdesk Draw Elbow Down 45 Degress;Построение (моделирование);ИСТИНА
Microdesk Draw Elbow Up;Построение (моделирование);ИСТИНА
Microdesk Move Connect and Align;Управление моделью;ИСТИНА
Process workset;Управление моделью;ЛОЖЬ
Recreate dimension;Оформление;ЛОЖЬ
Set sketch plane;Построение (моделирование);ЛОЖЬ
Split dims;Оформление;ЛОЖЬ
Tag all elements;Оформление;ЛОЖЬ
WorkPlane;Построение (моделирование);ЛОЖЬ
Write settings;Управление моделью;ЛОЖЬ
mprMepElementsBender;Построение (моделирование);ИСТИНА
АСК: Check Connectors;Управление моделью;ИСТИНА
АСК: Армирование стен;Построение (моделирование);ИСТИНА
АСК: Вторая транзакция;Системные Revit;ИСТИНА
АСК: Вырезание архитектруных стен;Построение (моделирование);ИСТИНА
АСК: Вытягивание помещений;Построение (моделирование);ИСТИНА
АСК: Задание ЭЛ;Системные Revit;ИСТИНА
АСК: Запись изображения сечения в перемычки;Системные Revit;ИСТИНА
АСК: Запись параметров из диспетчера отделки;Построение (моделирование);ИСТИНА
АСК: Изменение связей;Управление моделью;ИСТИНА
АСК: Копирование высотных отметок;Построение (моделирование);ИСТИНА
АСК: Копирование линий детализации;Оформление;ИСТИНА
АСК: Копирование проема;Построение (моделирование);ИСТИНА
АСК: Копирование размеров между осями;Оформление;ИСТИНА
АСК: Копирование траекторий лестниц;Построение (моделирование);ИСТИНА
АСК: Номера помещений;Системные Revit;ИСТИНА
АСК: Обновление семейства;Построение (моделирование);ИСТИНА
АСК: Обрамление отверстий;Построение (моделирование);ИСТИНА
АСК: Обрамление проемов;Построение (моделирование);ИСТИНА
АСК: Первая транзакция;Системные Revit;ИСТИНА
АСК: Поворот сечений;Управление моделью;ИСТИНА
АСК: Показать отверстия на виде;Оформление;ИСТИНА
АСК: Построение отделки потолков;Построение (моделирование);ИСТИНА
АСК: Построение отделки стен;Построение (моделирование);ИСТИНА
АСК: Построение полов;Построение (моделирование);ИСТИНА
АСК: Размещение видов;Оформление;ИСТИНА
АСК: Расстановка торцеобразователей;Построение (моделирование);ИСТИНА
АСК: Сечения вент. каналов;Системные Revit;ИСТИНА
АСК: Согласование изменений;Управление моделью;ИСТИНА
АСК: Создаем цепь;Построение (моделирование);ИСТИНА
АСК: Создание вида;Оформление;ИСТИНА
АСК: Создание гидроизоляции;Построение (моделирование);ИСТИНА
АСК: Создание изображения плана;Оформление;ИСТИНА
АСК: Создание компонента легенды пола;Оформление;ИСТИНА
АСК: Создание марок окон;Оформление;ИСТИНА
АСК: Создание марок помещений;Оформление;ИСТИНА
АСК: Создание недостающих компонентов;Построение (моделирование);ИСТИНА
АСК: Создание нового типоразмера;Управление моделью;ИСТИНА
АСК: Создание оборудования ВК;Построение (моделирование);ИСТИНА
АСК: Создание отверстий;Построение (моделирование);ИСТИНА
АСК: Создание пространств;Построение (моделирование);ИСТИНА
АСК: Создание разреза перемычки;Оформление;ИСТИНА
